alpha_news_amount,amount_news_ceo,analyst_target_price,beta,close,cpi,currency_exchange_rate,day_moving_average_200,day_moving_average_50,diluted_eps_ttm,eps,ev_to_ebitda,ev_to_revenue,forward_pe,high,low,market_capitalization,mean_price,news_sentiment_mean,open,pe_ratio,peg_ratio,price_change_1,price_change_3,price_to_book_ratio,price_to_sales_ratio_ttm,real_gdp,retail_sales,sentiment_ceo,sentiment_name,trailing_pe,volume,week_high_52,week_low_52,weekday,target
4,0,652.57,1.335,541.91,308.417,150.085,531.67,602.42,11.81,16.07,34.6,13.88,33.78,545.88,528.01,247090315000,536.82375,0.0900405,531.495,46.29,2.249,0.944668050669661,0.944668050669661,16.53,12.73,5769.95,554784.0,0.0,0.0,46.29,6567568,638.25,318.6,1,0.13609681017279218
1,0,652.57,1.335,538.52,308.417,150.187,531.67,602.42,11.81,16.07,34.6,13.88,33.78,542.5699,529.3675,244943307000,537.55435,0.200401,539.76,45.89,2.249,1.001360968101728,0.9459537137533439,16.53,12.62,5769.95,554784.0,0.0,0.0,45.89,4493535,638.25,318.6,2,1.4604337217250851
1,1,652.57,1.335,537.57,308.417,150.743,532.65,601.34,11.8,16.07,30.8,12.35,30.12,555.5499,534.56,243411042000,545.404975,0.253045,553.94,45.64,2.006,1.0146043372172509,0.9597687407809085,14.74,12.54,5769.95,554784.0,0.0,0.2307941392064094,45.64,5023397,638.25,318.6,3,0.6403544448783327
1,0,652.57,1.335,553.44,308.417,150.44,533.66,599.94,11.83,16.07,30.73,12.33,30.03,557.18,541.48,242981650000,548.8975,0.346928,543.49,45.44,2.002,1.0064035444487833,1.022491087624197,14.71,12.52,5769.95,554784.0,0.0,0.0,45.44,4546484,638.25,320.7,4,0.0
0,2,652.57,1.335,553.44,308.417,150.44,535.66,597.05,11.84,16.07,31.65,12.69,30.96,557.18,541.48,250154877000,548.8975,0.0,543.49,46.74,2.061,1.0,1.0211014011885498,15.14,12.89,5769.95,554784.0,0.0,0.1563556790351867,46.74,4546484,638.25,320.7,5,0.0
0,0,602.8,1.335,553.44,308.417,150.626,535.66,597.05,11.84,16.07,31.65,12.69,30.96,557.18,541.48,250154877000,548.8975,0.0,543.49,46.74,2.061,1.0,1.0064035444487833,15.14,12.89,5769.95,554784.0,0.0,0.6252224028110505,46.74,4546484,638.25,320.7,6,2.213983485076887
3,5,652.57,1.335,560.48,308.417,150.241,535.66,597.05,11.84,16.07,31.65,12.69,30.96,570.6,556.56,250154877000,561.05,0.2041269999999999,556.56,46.74,2.061,1.0221398348507689,1.0221398348507689,15.14,12.89,5769.95,554784.0,0.0,0.0,46.74,4251153,638.25,320.97,0,-0.5057481507887207
2,0,652.57,1.335,552.49,308.417,150.709,535.66,597.05,11.83,16.07,32.06,12.86,31.35,565.91,548.54,253336945000,558.2124999999999,0.3080275,565.91,47.38,2.087,0.9949425184921128,1.0169703815375364,15.34,13.05,5769.95,554784.0,0.0,0.0,47.38,3247572,638.25,321.0,1,-0.9884183890543241
2,0,652.57,1.335,551.82,308.417,149.882,535.66,597.05,11.83,16.07,32.06,12.86,31.35,557.2,549.7601,253336945000,552.695025,0.1218544999999999,552.0,47.38,2.087,0.9901158161094568,1.0069184592751834,15.34,13.05,5760.935,554784.0,0.0,0.0,47.38,2313223,638.25,321.56,2,0.8847510433082073
4,2,653.38,1.335,560.28,308.417,150.492,537.79,594.15,11.81,0.0,31.56,12.66,30.86,561.94,553.23,249422643000,557.585,0.0993262499999999,554.89,46.72,2.055,1.008847510433082,0.9938240798502809,15.1,12.85,5760.935,554784.0,0.9987535774707794,0.0,46.72,3844366,638.25,323.29,3,1.5809248814081966
